Position,,,,Velocity,,
N_L,E_L,D_L,,N_L,E_L,D_L
-1.59E-10,500,-1000,,50,0,50
5,500,-995,,48.95476575,-1.001240949,51.81993256
9.947738287,499.949938,-989.9090034,,47.90507716,-2.00585372,53.63304237
14.79073043,499.7995832,-984.6363546,,46.84731825,-3.015867502,55.42946572
19.5283502,499.5484972,-979.1832292,,45.78216096,-4.029983427,57.20567129
24.15982416,499.1962046,-973.5514724,,44.70931552,-5.048267166,58.96071593
28.68439799,498.7422921,-967.743153,,43.62853955,-6.070760297,60.69367412
33.10129074,498.1863407,-961.7604335,,42.53960017,-7.097497584,62.40357504
37.40969773,497.5279278,-955.605571,,41.44227372,-8.128504673,64.0893939
41.60879142,496.7666277,-949.2809226,,40.33634541,-9.163797493,65.75004716
45.69772238,495.9020126,-942.7889505,,39.22160999,-10.20338095,67.38438853
49.67562015,494.9336537,-936.1322288,,38.09787256,-11.24724735,68.99120454
53.54159428,493.8611223,-929.3134491,,36.96494992,-12.29537434,70.56920968
57.2947354,492.6839912,-922.3354284,,35.82267214,-13.34772255,72.11704095
60.9341165,491.4018363,-915.2011159,,34.67088477,-14.40423245,73.63325214
64.45879435,490.0142386,-907.9136012,,33.50945167,-15.46482075,75.11630763
67.86781117,488.5207859,-900.4761232,,32.33825858,-16.52937596,76.56457586
71.16019668,486.9210761,-892.8920791,,31.15721766,-17.597753,77.9763228
74.3349705,485.2147196,-885.1650341,,29.96627313,-18.6697669,79.34970521
77.39114503,483.4013436,-877.2987327,,28.76540802,-19.74518532,80.68276419
80.32772909,481.480596,-869.2971092,,27.55465275,-20.82371972,81.97341961
83.14373213,479.4521508,-861.1643001,,26.33409522,-21.90501508,83.21946564
85.83816953,477.315714,-852.9046558,,25.10389279,-22.98863824,84.41856786
88.41006893,475.0710314,-844.5227541,,23.86428641,-24.07406456,85.56826327
90.85847789,472.7178962,-836.0234126,,22.61555053,-25.16067665,86.6657178
93.18246974,470.2561592,-827.4117135,,21.35814107,-26.24771729,87.70818939
95.38115432,467.6857395,-818.6930182,,20.0927226,-27.33427449,88.69308532
97.4536975,465.0066399,-809.8729544,,18.82005912,-28.41929516,89.61752178
99.39933659,462.2189614,-800.9574241,,17.54109726,-29.50155249,90.47856081
101.2173944,459.322919,-791.9526199,,16.25699192,-30.57963124,91.27326837
102.9072989,456.3188598,-782.8650285,,14.96912494,-31.65191692,91.99876029
104.4686047,453.2072824,-773.701427,,13.67903994,-32.71648577,92.65133891
105.901013,449.9888623,-764.4689221,,12.38863638,-33.77127523,93.22832268
107.2043968,446.6644742,-755.174939,,11.10015901,-34.81415636,93.72838502
108.3788365,443.2352027,-745.8271036,,9.815988778,-35.8428124,94.1499413
109.4246439,439.7023542,-736.4331873,,8.538798531,-36.85421875,94.48928163
110.3423833,436.0675027,-727.0012262,,7.271397344,-37.84577503,94.74561318
111.1328931,432.332503,-717.5394814,,6.016507332,-38.81571888,94.92208001
111.7972883,428.4994283,-708.0560968,,4.777614019,-39.76018854,95.01501977
112.3369944,424.5706329,-698.5592418,,3.909632631,-40.36320787,95.2136558
112.7713567,420.5644631,-689.047808,,3.279675153,-40.74574293,95.46546253
113.1308221,416.5090156,-679.5138521,,2.322085131,-41.40934525,95.44984527
113.4109101,412.4012611,-669.9680867,,1.622344732,-41.79734904,95.33533169
113.6081316,408.2409264,-660.4288278,,1.392806504,-41.72727605,95.28870068
113.7588892,404.0646952,-650.8976262,,1.17220098,-41.64992579,95.23838555
113.8871396,399.8958351,-641.3712719,,0.95151149,-41.57538555,95.18890234
113.9933252,395.7345695,-631.8499075,,0.729938831,-41.50452943,95.140285
114.0773977,391.5805738,-622.3334481,,0.448479845,-41.46492886,94.91785334
114.1363186,387.4321009,-612.8305412,,-0.005928812,-41.51678168,94.21963474
114.1584462,383.2830153,-603.3736668,,-0.574120073,-41.63368994,93.22075916
114.1294437,379.1254917,-594.0016471,,-1.056813234,-41.708002,92.44198502
114.0478971,374.9584071,-584.7185099,,-1.438798685,-41.73163461,91.92654214
113.9231165,370.7864253,-575.5000836,,-1.837173401,-41.76851689,91.36484877
113.7593179,366.6114177,-566.335514,,-2.290223157,-41.83808669,90.64475737
113.552948,362.4310876,-557.2350337,,-2.762675256,-41.92235439,89.86788339
113.3003031,358.2430655,-548.2094017,,-3.217181617,-42.00185959,89.14224736
113.0013103,354.0468548,-539.2588951,,-3.652379104,-42.07564846,88.47104013
112.6578322,349.8429794,-530.3782308,,-4.086022712,-42.15288266,87.80122189
112.2709121,345.6315529,-521.5646177,,-4.52728409,-42.23821607,87.10427053
111.8402468,341.4119979,-512.819343,,-4.971345288,-42.32873963,86.39246286
111.3653153,337.1836501,-504.1445064,,-5.41065525,-42.42000136,85.68629799
110.8462153,332.9462131,-495.5405683,,-5.843291013,-42.51060961,84.98978755
110.283518,328.6996825,-487.006764,,-6.27148207,-42.60145293,84.29444283
109.6777793,324.4440794,-478.5425525,,-6.696685676,-42.69296173,83.59378903
109.029371,320.1793587,-470.1481409,,-7.117875136,-42.7841427,82.88868218
108.3386429,315.9055035,-461.8240174,,-7.53314303,-42.873483,82.1826624
107.606092,311.6226222,-453.5704501,,-7.941351508,-42.95988609,81.47691353
106.8323673,307.3309537,-445.3874713,,-8.342154905,-43.04268136,80.77007415
106.018192,303.0308253,-437.275122,,-8.735201527,-43.12116959,80.06069108
105.1643241,298.7226328,-429.2335837,,-9.119733033,-43.19440049,79.34855929
104.2715774,294.4068543,-421.2631212,,-9.494780162,-43.26128999,78.63416895
103.3408518,290.0840698,-413.3639848,,-9.859462515,-43.3207929,77.91774443
102.3731396,285.7549656,-405.5363891,,-10.21304453,-43.37193462,77.19904379
101.3695143,281.4203292,-397.7805497,,-10.55482303,-43.41375047,76.47774974
100.3311209,277.081045,-390.09671,,-10.88405365,-43.4452509,75.75376993
99.25917705,272.7380949,-382.485134,,-11.19997554,-43.46544156,75.02719569
98.15497559,268.3925603,-374.9460857,,-11.50186529,-43.47335712,74.29813342
97.01988355,264.0456204,-367.4798193,,-11.78906033,-43.4680781,73.56663895
95.85533727,259.6985486,-360.0865807,,-12.06095231,-43.44873271,72.83277155
94.66283664,255.3527081,-352.7666101,,-12.31698043,-43.41449963,72.09665626
93.44394,251.0095464,-345.5201388,,-12.55664204,-43.36462085,71.35848116
92.20025888,246.6705904,-338.3473819,,-12.77950753,-43.29841516,70.61846511
90.9334514,242.3374386,-331.2485346,,-12.9852288,-43.21528732,69.87684241
89.64521458,238.0117535,-324.2237692,,-13.17354579,-43.11473753,69.13386127
88.33727586,233.6952523,-317.273234,,-13.34429118,-42.99636984,68.38978607
87.01138401,229.3896969,-310.3970516,,-13.49739545,-42.85990008,67.64489252
85.66929968,225.0968834,-303.5953177,,-13.63289148,-42.70516284,66.89945639
84.31278533,220.8186302,-296.8681003,,-13.7509173,-42.5321165,66.15374265
82.94359489,216.5567663,-290.2154403,,-13.85171736,-42.34084719,65.407996
81.56346316,212.3131181,-283.6373534,,-13.93563943,-42.13156836,64.66243843
80.17409532,208.0894973,-277.1338317,,-14.00313014,-41.90461854,63.91726478
78.77715684,203.887688,-270.7048465,,-14.05472975,-41.66045742,63.17263341
77.37426384,199.7094342,-264.3503516,,-14.09106226,-41.39965678,62.42866413
75.96697424,195.5564285,-258.0702867,,-14.11282347,-41.12288867,61.68543879
74.55677996,191.4303012,-251.8645816,,-14.12076831,-40.83091204,60.94299944
73.14510037,187.3326112,-245.7331597,,-14.11569211,-40.52455219,60.20135997
71.73327735,183.2648379,-239.6759417,,-14.09841638,-40.20468363,59.46050351
70.32257192,179.2283761,-233.6928485,,-14.06977583,-39.8722133,58.72037661
68.91416231,175.2245313,-227.7838045,,-14.030601,-39.52805976,57.98090307
67.50914347,171.2545177,-221.9487405,,-13.98170258,-39.17313444,57.2420014
66.10852829,167.3194579,-216.1875953,,-13.9238635,-38.80832874,56.50357467
64.71324999,163.4203848,-210.5003165,,-13.85782898,-38.4345,55.76551546
63.32416536,159.5582433,-204.886862,,-13.78429957,-38.05246155,55.02771277
61.94205894,155.7338953,-199.3472006,,-13.7039322,-37.66298033,54.29003494
60.56764735,151.9481232,-193.8813132,,-13.61733048,-37.26676757,53.55237474
59.20158421,148.2016358,-188.4891927,,-13.52504982,-36.86447965,52.81461407
57.8444652,144.4950734,-183.1708433,,-13.42711841,-36.45296923,52.05433056
56.49685679,140.829201,-177.927396,,-13.32319519,-36.0233081,51.20985239
55.15934111,137.2053871,-172.7641869,,-13.2157223,-35.58256352,50.30626923
53.83239523,133.6250935,-167.6883808,,-13.1075604,-35.14475037,49.41564997
52.5162311,130.0887278,-162.7022849,,-12.9994682,-34.7133108,48.55569606
51.21087967,126.5958248,-157.8037176,,-12.8966187,-34.31137954,47.84389871
49.91607532,123.1445903,-152.9837378,,-12.80036208,-33.9443159,47.30734685
48.63122629,119.7318055,-148.2261755,,-12.69946538,-33.56223463,46.6953842
47.35623491,116.356478,-143.526039,,-12.58804989,-33.14051623,45.88702094
46.09185915,113.0213404,-138.8969187,,-12.47159539,-32.7037117,45.0072873
44.83887688,109.729129,-134.3522033,,-12.35420021,-32.26927973,44.14331745
43.5975871,106.4804794,-129.8946731,,-12.23998465,-31.85356387,43.37490041
42.36787786,103.2743373,-125.5187622,,-12.1299986,-31.46030747,42.72006087
41.1493787,100.1086437,-121.2140141,,-12.01789253,-31.06429334,42.0566319
39.94198414,96.98241366,-116.9751795,,-11.89822828,-30.64502823,41.287733
38.7461781,93.89694758,-112.8079612,,-11.77272462,-30.20966014,40.44964942
37.56263046,90.85421316,-108.7210921,,-11.64755548,-29.78138609,39.65333899
36.39161645,87.85466085,-104.7159427,,-11.52449334,-29.36646862,38.92806364
35.23301401,84.89726811,-100.7868726,,-11.39977449,-28.95122491,38.21017223
34.08680062,81.98138344,-96.92996077,,-11.27024023,-28.52466288,37.45005439
32.95329988,79.10758905,-93.14694944,,-11.13687612,-28.09048993,36.66612935
31.83294407,76.27683141,-89.44114025,,-11.00194361,-27.65658094,35.89500783
30.72600308,73.48947786,-85.81308339,,-10.86590444,-27.22448042,35.14407277
29.63261068,70.7454248,-82.26112936,,-10.72757177,-26.79027155,34.39654772
28.55293687,68.0446872,-78.78409834,,-10.58575785,-26.35017549,33.63676815
27.48727039,65.38766484,-75.38243254,,-10.44068073,-25.9050177,32.86933277
26.43594846,62.77490519,-72.0571275,,-10.29330976,-25.45794654,32.10857651
25.39924893,60.20675697,-68.80823203,,-10.14364711,-25.00901113,31.35540503
24.37740109,57.68340909,-65.63503296,,-9.990028124,-24.55318312,30.58970069
23.37071733,55.20529938,-62.53777767,,-9.833545723,-24.09381236,29.82601277
22.37953863,52.7729496,-59.516992,,-9.674490839,-23.63189047,29.06943532
21.40413681,50.38666446,-56.57221959,,-9.511377377,-23.16303818,28.30296619
20.4448434,48.04691803,-53.70359952,,-9.346050517,-22.69269199,27.54898013
19.501972,45.75413152,-50.9110022,,-9.17790773,-22.21916534,26.80167084
18.57577409,43.50853865,-48.19346965,,-9.005697024,-21.73889224,26.04785679
17.66659385,41.31063578,-45.55099327,,-8.82893018,-21.25062294,25.28397825
16.77486249,39.16116002,-42.98440152,,-8.647703143,-20.75469263,24.51220313
15.90103082,37.06089424,-40.49459245,,-8.463532343,-20.2553559,23.74919878
15.04546905,35.01039181,-38.08152236,,-8.276878715,-19.75386217,23.0000347
14.2084485,33.00993091,-35.74406068,,-8.087209013,-19.24876215,22.26004376
13.39024411,31.05979969,-33.48105676,,-7.893022716,-18.73606112,21.51581771
12.59123252,29.16055853,-31.29226369,,-7.694154708,-18.21536756,20.76686124
11.81187365,27.3129871,-29.17812974,,-7.490556552,-17.68663346,20.01407051
11.05263809,25.51788704,-27.13908315,,-7.280531957,-17.14553363,19.24399663
10.31408367,23.77627869,-25.1761798,,-7.065301948,-16.59528931,18.46836273
9.59679197,22.08923754,-23.29056183,,-6.848913953,-16.0462735,17.72172281
8.901081175,20.4571594,-21.48105755,,-6.632863688,-15.50218288,17.01587493
8.226992293,18.87973658,-19.74417766,,-6.411510316,-14.94876213,16.30608814
7.574773593,17.35718933,-18.07807951,,-6.18032979,-14.37473587,15.55822552
6.945181588,15.89101443,-16.48486383,,-5.942423338,-13.7879535,14.79799513
6.339043931,14.48287996,-14.96705279,,-5.700118,-13.19423769,14.04413023
5.756916864,13.13377041,-13.52494653,,-5.453015705,-12.59263043,13.2945346
5.199260179,11.844427,-12.15801328,,-5.200858922,-11.98251446,12.54813291
4.666566448,10.61566975,-10.86587991,,-4.944969521,-11.36707737,11.8146287
4.159275026,9.448190162,-9.647741829,,-4.683874844,-10.74279661,11.08494196
3.677832807,8.342696463,-8.502763296,,-4.417467409,-10.10938612,10.35872708
3.222765695,7.300087327,-7.430579844,,-4.150786672,-9.478771927,9.668601174
2.794352991,6.320679425,-6.429213431,,-3.880737634,-8.843597229,8.995267123
2.392776775,5.404560967,-5.496020017,,-3.602350298,-8.19211175,8.30808851
2.018622379,4.552775518,-4.630852235,,-3.318464349,-7.53094215,7.624799358
1.672581646,3.766622823,-3.834207842,,-3.03130357,-6.865194277,6.958746983
1.35509325,3.046816002,-3.105030525,,-2.736493903,-6.184698729,6.285535006
1.066703377,2.394321351,-2.442816425,,-2.43048942,-5.481262728,5.586728625
0.80835421,1.811023278,-1.849203244,,-2.097058904,-4.720055101,4.902087529
0.581976794,1.300957387,-1.324762436,,-1.765036695,-3.967426256,4.211183184
0.388872014,0.866583319,-0.8690989,,-1.461809104,-3.282713079,3.483992581
0.227529724,0.504076352,-0.484340112,,-1.157664357,-2.596402565,2.756758173
0.096556051,0.21012057,-0.172302574,,-0.846999436,-1.895467686,2.035590456
-0.003677139,-0.014472943,0.067314858,,-0.532126144,-1.185134815,1.318041929
-0.072633418,-0.168503068,0.234996477,,-0.21263463,-0.464543806,0.604467533
